id,kanji,kana,vietnamese,hanViet,level,pos,tags,exampleSentence,exampleTranslation
"n5_0013","医者","いしゃ","Bác sĩ","Y giả","N5","N","","私はいしゃに日本語を教えます。","Tôi dạy tiếng Nhật cho Bác sĩ."
"n5_0014","大学","だいがく","Trường đại học","Đại học","N5","N","","だいがくにスーパーがあります。","Ở Trường đại học có siêu thị."
"n5_0015","機械","きかい","Máy móc, cơ khí","Cơ giới","N5","N","","昨日買ったきかいはどこですか。","máy móc, cơ khí mà tôi đã mua hôm qua ở đâu?"
"n5_0016","自動車/車","じどうしゃ","Ô tô","Tự động xa","N5","N","","昨日買ったじどうしゃはどこですか。","ô tô mà tôi đã mua hôm qua ở đâu?"
"n5_0017","専門","せんもん","Chuyên môn","Chuyên môn","N5","N","","せんもんを忘れないでください。","Xin đừng quên chuyên môn."
"n5_0018","何歳/おいくつ","なんさい","Bao nhiêu tuổi","Hà tuế","N5","N","","会話でよく「なんさい」と言います。","Trong giao tiếp thường nói 'Bao nhiêu tuổi'."
"n5_0019","失礼ですが","しつれい","Xin lỗi (nhờ vả, hỏi thăm)","Thất lễ","N5","N","","会話でよく「しつれい」と言います。","Trong giao tiếp thường nói 'Xin lỗi (nhờ vả, hỏi thăm)'."
"n5_0020","お名前は","おなまえは？","Tên bạn là gì?","Danh tiền","N5","N","","会話でよく「おなまえは？」と言います。","Trong giao tiếp thường nói 'Tên bạn là gì?'."
"n5_0021","初めまして","はじめまして","Xin chào (lần đầu gặp)","Sơ","N5","N","","会話でよく「はじめまして」と言います。","Trong giao tiếp thường nói 'Xin chào (lần đầu gặp)'."
"n5_0022","中国","ちゅうごく","Trung Quốc","Trung quốc","N5","N","","毎日、ちゅうごくへ行きます。","Mỗi ngày tôi đều đi đến Trung Quốc."
"n5_0023","韓国","かんこく","Hàn Quốc","Hàn quốc","N5","N","","かんこくにスーパーがあります。","Ở Hàn Quốc có siêu thị."
"n5_0024","ベトナム","ベトナム","Việt Nam","","N5","N","","",""
"n5_0025","日本　/にっぽん","にほん","Nhật Bản","Nhật bản","N5","N","","毎日、にほんへ行きます。","Mỗi ngày tôi đều đi đến Nhật Bản."
"n5_0026","誰","だれ","Ai","Thùy","N5","N","","あの人はだれじゃありません。","Người kia không phải là Ai."
"n5_0027","本","ほん","Quyển sách","Bản","N5","N","","このほんはいくらですか。","Quyển sách này bao nhiêu tiền?"
"n5_0028","辞書","じしょ","Từ điển","Từ thư","N5","N","","このじしょはいくらですか。","Từ điển này bao nhiêu tiền?"
"n5_0029","雑誌","ざっし","Tạp chí","Tạp chí","N5","N","","それはざっしですか。","Đó có phải là tạp chí không?"
"n5_0030","新聞","しんぶん","Báo","Tân văn","N5","N","","ハサミでしんぶんを切ります。","Tôi cắt báo bằng kéo."
"n5_0031","紙","かみ","Giấy","Chỉ","N5","N","","このかみはいくらですか。","Giấy này bao nhiêu tiền?"
"n5_0032","煙草","たばこ","Thuốc lá","Yên thảo","N5","N","","ここにたばこを置いてもいいですか。","Tôi để thuốc lá ở đây có được không?"
"n5_0033","灰皿","はいざら","Gạt tàn thuốc lá","Hôi mãnh","N5","N","","それははいざらですか。","Đó có phải là gạt tàn thuốc lá không?"
"n5_0034","箱","はこ","Hộp","Tương","N5","N","","ここにはこを置いてもいいですか。","Tôi để hộp ở đây có được không?"
"n5_0035","手紙","てがみ","Thư","Thủ chỉ","N5","N","","ここにてがみを置いてもいいですか。","Tôi để thư ở đây có được không?"
"n5_0036","手帳","てちょう","Sổ tay","Thủ trướng","N5","N","","てちょうを洗ってから、ご飯を食べます。","Sau khi rửa sổ tay, tôi ăn cơm."
"n5_0037","名刺","めいし","Danh thiếp","Danh thích","N5","N","","私はめいしに日本語を教えます。","Tôi dạy tiếng Nhật cho Danh thiếp."
"n5_0038","鉛筆","えんぴつ","Bút chì","Duyên bút","N5","N","","えんぴつの使い方を教えてください。","Hãy chỉ cho tôi cách dùng bút chì."
"n5_0039","鍵","かぎ","Chìa khóa","Kiện","N5","N","","ハサミでかぎを切ります。","Tôi cắt chìa khóa bằng kéo."
"n5_0040","時計","とけい","Đồng hồ","Thời kế","N5","N","","新しいとけいが欲しいです。","Tôi muốn có đồng hồ mới."
"n5_0041","傘","かさ","Cái ô","Tán","N5","N","","かさを食べる前に、手を洗います。","Trước khi ăn cái ô, tôi rửa tay."
"n5_0042","鞄","かばん","Cặp sách","Bạc","N5","N","","ここにかばんを置いてもいいですか。","Tôi để cặp sách ở đây có được không?"
"n5_0043","電話","でんわ","Điện thoại","Điện thoại","N5","N","","このでんわはいくらですか。","Điện thoại này bao nhiêu tiền?"
"n5_0044","携帯電話","けいたいでんわ","Điện thoại cầm tay","Huề đới","N5","N","","けいたいでんわが痛いですから、病院へ行きます。","Vì đau điện thoại cầm tay nên tôi đi bệnh viện."
"n5_0045","机","つくえ","Bàn","Kỷ","N5","N","","私はつくえに日本語を教えます。","Tôi dạy tiếng Nhật cho Bàn làm việc."
"n5_0046","椅子","いす","Ghế","Kỷ tử","N5","N","","昨日買ったいすはどこですか。","ghế mà tôi đã mua hôm qua ở đâu?"
"n5_0047","窓","まど","Cửa sổ","Song","N5","N","","まどを忘れないでください。","Xin đừng quên cửa sổ."
"n5_0048","英語","えいご","Tiếng Anh","Anh ngữ","N5","N","","私はえいごに日本語を教えます。","Tôi dạy tiếng Nhật cho Tiếng Anh."
"n5_0049","日本語","にほんご","Tiếng Nhật","Nhật bản ngữ","N5","N","","ハサミでにほんごを切ります。","Tôi cắt tiếng nhật bằng kéo."
"n5_0050","違う","ちがう","Không phải","Vi","N5","N","","この時計はちがうにもらいました。","Tôi đã nhận cái đồng hồ này từ Không phải."
"n5_0051","お土産","おみやげ","Quà (chơi xa)","Thổ sản","N5","N","","おみやげを忘れないでください。","Xin đừng quên quà (chơi xa)."
"n5_0052","教室","きょうしつ","Phòng học","Giáo thất","N5","N","","私はきょうしつへ行ったことがありません。","Tôi chưa từng đi đến Phòng học."
"n5_0053","食堂","しょくどう","Nhà ăn","Thực đường","N5","N","","しょくどうにスーパーがあります。","Ở Nhà ăn có siêu thị."
"n5_0054","事務所/　事務室","じむしょ","Văn phòng","Sự vụ sở","N5","N","","毎日、じむしょへ行きます。","Mỗi ngày tôi đều đi đến Văn phòng."
"n5_0055","会議室","かいぎしつ","Phòng họp","Hội nghị thất","N5","N","","私はかいぎしつへ行ったことがありません。","Tôi chưa từng đi đến Phòng họp."
"n5_0056","受付","うけつけ","Phòng lễ tân","Thụ phó","N5","N","","うけつけで写真を撮らないでください。","Xin đừng chụp ảnh ở Phòng lễ tân."
"n5_0057","部屋","へや","Phòng","Bộ ốc","N5","N","","へやにスーパーがあります。","Ở Phòng có siêu thị."
"n5_0058","庭","にわ","Sân vườn","Đình","N5","N","","新しいにわが欲しいです。","Tôi muốn có sân vườn mới."
"n5_0059","階段","かいだん","Cầu thang","Giai đoạn","N5","N","","このかいだんはいくらですか。","Cầu thang này bao nhiêu tiền?"
"n5_0060","「お」国","くに","Đất nước","Quốc","N5","N","","くにで写真を撮らないでください。","Xin đừng chụp ảnh ở Đất nước."
"n5_0061","会社","かいしゃ","Công ty","Hội xã","N5","N","","あの方はかいしゃです。","Vị kia là Công ty."
"n5_0062","家","うち","Nhà","Gia","N5","N","","うちで写真を撮らないでください。","Xin đừng chụp ảnh ở Nhà."
"n5_0063","靴","くつ","Giày","Ngoa","N5","N","","くつを忘れないでください。","Xin đừng quên giày."
"n5_0065","売り場","うりば","Nơi bán","Mại trường","N5","N","","ハサミでうりばを切ります。","Tôi cắt nơi bán bằng kéo."
"n5_0066","自動販売機","じどうはんばいき","Máy bán hàng tự động","Tự động phiến mại cơ","N5","N","","それはじどうはんばいきですか。","Đó có phải là máy bán hàng tự động không?"
"n5_0067","地下","ちか","Tầng hầm","Địa hạ","N5","N","","ここはちかです。","Chỗ này là Tầng hầm."
"n5_0068","―階","ーかい/がい","Tầng -","Giai","N5","N","","毎日、ーかいへ行きます。","Mỗi ngày tôi đều đi đến Tầng -."
"n5_0069","何階","なんがい","Tầng mấy","Hà giai","N5","N","","毎日、なんがいへ行きます。","Mỗi ngày tôi đều đi đến Tầng mấy."
"n5_0070","―円","えん","- yên","Viên","N5","N","","えんの使い方を教えてください。","Hãy chỉ cho tôi cách dùng - yên."
"n5_0071","幾ら","いくら","Bao nhiêu tiền","Kỉ","N5","N","","昨日、デパートでいくらを買いました。","Hôm qua, tôi đã mua bao nhiêu tiền ở trung tâm thương mại."
"n5_0072","百","ひゃく","Trăm","Bách","N5","N","","ひゃくを忘れないでください。","Xin đừng quên trăm."
"n5_0073","千","せん","Nghìn","Thiên","N5","N","","昨日買ったせんはどこですか。","nghìn mà tôi đã mua hôm qua ở đâu?"
"n5_0074","万","まん","Vạn","Vạn","N5","N","","ハサミでまんを切ります。","Tôi cắt vạn bằng kéo."
"n5_0075","起きる","おきる","Thức dậy","Khởi","N5","V","","今、おきるところです。","Bây giờ tôi đang chuẩn bị thức dậy."
"n5_0076","寝る","ねる","Ngủ","Tẩm","N5","V","","たくさんねると、疲れます。","Hễ ngủ nhiều thì sẽ mệt."
"n5_0077","働く","はたらく","Làm việc","Động","N5","V","","たくさんはたらくと、疲れます。","Hễ làm việc nhiều thì sẽ mệt."
"n5_0078","休む","やすむ","Nghỉ","Hưu","N5","V","","やすむ前に、よく考えます。","Trước khi nghỉ, tôi thường suy nghĩ kỹ."
"n5_0079","勉強する","べんきょうする","Học","Miễn cường","N5","V","","べんきょうする前に、よく考えます。","Trước khi học, tôi thường suy nghĩ kỹ."
"n5_0080","見学する","けんがくする","Kiến học","Kiến học","N5","V","","時間がない時、けんがくすることができません。","Khi không có thời gian, tôi không thể kiến học, dự giờ."
"n5_0081","終わる","おわる","Kết thúc","Chung","N5","V","","おわる前に、よく考えます。","Trước khi kết thúc, tôi thường suy nghĩ kỹ."
"n5_0082","銀行","ぎんこう","Ngân hàng","Ngân hàng","N5","N","","私はぎんこうへ行ったことがありません。","Tôi chưa từng đi đến Ngân hàng."
"n5_0083","郵便局","ゆうびんきょく","Bưu điện","Bưu tiện cục","N5","N","","ここはゆうびんきょくです。","Chỗ này là Bưu điện."
"n5_0084","図書館","としょかん","Thư viện","Đồ thư quán","N5","N","","ここにとしょかんを置いてもいいですか。","Tôi để thư viện ở đây có được không?"
"n5_0085","美術館","びじゅつかん","Bảo tàng mỹ thuật","Mỹ thuật quán","N5","N","","びじゅつかんを忘れないでください。","Xin đừng quên bảo tàng mỹ thuật."
"n5_0086","今","いま","Bây giờ","Kim","N5","N","","いままでにレポートを出さなければなりません。","Phải nộp báo cáo trước bây giờ."
"n5_0087","―時","じ","-giờ","Thời","N5","N","","もしじ暇だったら、手伝ってください。","Nếu -giờ rảnh, xin hãy giúp tôi."
"n5_0088","―分","ふん/ぶん","-phút","Phân","N5","N","","ふんに起きます。","Tôi thức dậy vào -phút."
"n5_0089","何時","なんじ","Mấy giờ","Hà thời","N5","N","","なんじ、どこへも行きませんでした。","Vào mấy giờ, tôi đã không đi đâu cả."
"n5_0090","何分","なんぶん","Mấy phút","Hà phân","N5","N","","なんぶん、どこへも行きませんでした。","Vào mấy phút, tôi đã không đi đâu cả."
"n5_0091","午前","ごぜん","Buổi sáng","Ngọ tiền","N5","N","","ごぜん、雨が降ると思います。","Tôi nghĩ buổi sáng trời sẽ mưa."
"n5_0092","午後","ごご","Buổi chiều","Ngọ hậu","N5","N","","もしごご暇だったら、手伝ってください。","Nếu buổi chiều rảnh, xin hãy giúp tôi."
"n5_0093","朝","あさ","Sáng","Triều","N5","N","","あさまでにレポートを出さなければなりません。","Phải nộp báo cáo trước sáng."
"n5_0094","昼","ひる","Trưa","Trú","N5","N","","ひる、どこへも行きませんでした。","Vào trưa, tôi đã không đi đâu cả."
"n5_0095","晩　/　夜","ばん/よる","Tối / đêm","Vãn / dạ","N5","N","","ばん、雨が降ると思います。","Tôi nghĩ tối / đêm trời sẽ mưa."
"n5_0096","毎朝","まいあさ","Hàng sáng","Mỗi triều","N5","N","","まいあさに起きます。","Tôi thức dậy vào hàng sáng."
"n5_0097","毎晩","まいばん","Hàng tối","Mỗi vãn","N5","N","","まいばんに起きます。","Tôi thức dậy vào hàng tối."
"n5_0098","毎日","まいにち","Hàng ngày","Mỗi nhật","N5","N","","まいにちまでにレポートを出さなければなりません。","Phải nộp báo cáo trước hàng ngày."
"n5_0099","一昨日","おととい","Hôm kia","Nhất tác minh","N5","N","","もしおととい暇だったら、手伝ってください。","Nếu hôm kia rảnh, xin hãy giúp tôi."
"n5_0100","昨日","きのう","Hôm qua","","N5","N","","きのう、雨が降ると思います。","Tôi nghĩ hôm qua trời sẽ mưa."
"n5_0101","今日","きょう","Hôm nay","","N5","N","","もしきょう暇だったら、手伝ってください。","Nếu hôm nay rảnh, xin hãy giúp tôi."
"n5_0102","明日","あした","Ngày mai","Minh","N5","N","","あしたは今、会議室にいます。","Ngày mai bây giờ đang ở phòng họp."
"n5_0103","明後日","あっさて","Ngày kia","Minh hậu nhật","N5","N","","もしあっさて暇だったら、手伝ってください。","Nếu ngày kia rảnh, xin hãy giúp tôi."
"n5_0104","今朝","けさ","Sáng nay","Kim triều","N5","N","","けさ、雨が降ると思います。","Tôi nghĩ sáng nay trời sẽ mưa."
"n5_0105","今晩","こんばん","Tối nay","Kim vãn","N5","N","","こんばん、どこへも行きませんでした。","Vào tối nay, tôi đã không đi đâu cả."
"n5_0106","昼休み","ひるやすみ","Nghỉ trưa","Trú hưu","N5","N","","ひるやすみ、雨が降ると思います。","Tôi nghĩ nghỉ trưa trời sẽ mưa."
"n5_0107","講義","こうぎ","Bài giảng","Giảng nghĩa","N5","N","","あのこうぎはだれですか。","Bài giảng kia là ai?"
"n5_0108","日曜日","にちようび","Chủ nhật","Nhật diệu","N5","N","","にちようびの使い方を教えてください。","Hãy chỉ cho tôi cách dùng chủ nhật."
"n5_0109","月曜日","けつようび","Thứ 2","Nguyệt","N5","N","","けつようびに起きます。","Tôi thức dậy vào thứ 2."
"n5_0110","火曜日","かようび","Thứ 3","Hỏa","N5","N","","かようびまでにレポートを出さなければなりません。","Phải nộp báo cáo trước thứ 3."
"n5_0111","水曜日","すいようび","Thứ 4","Thủy","N5","N","","すいようびに起きます。","Tôi thức dậy vào thứ 4."
"n5_0112","木曜日","もくようび","Thứ 5","Mộc","N5","N","","もしもくようび暇だったら、手伝ってください。","Nếu thứ 5 rảnh, xin hãy giúp tôi."
"n5_0113","金曜日","きんようび","Thứ 6","Kim","N5","N","","きんようび、雨が降ると思います。","Tôi nghĩ thứ 6 trời sẽ mưa."
"n5_0114","土曜日","どようび","Thứ 7","Thổ","N5","N","","どようびまでにレポートを出さなければなりません。","Phải nộp báo cáo trước thứ 7."
"n5_0115","何曜日","なんようび","Thứ mấy","","N5","N","","なんようび、雨が降ると思います。","Tôi nghĩ thứ mấy trời sẽ mưa."
"n5_0116","番号","ばんごう","Số","Phiên hiệu","N5","N","","ばんごうの使い方を教えてください。","Hãy chỉ cho tôi cách dùng số."
"n5_0117","何番","なんばん","Số mấy","","N5","N","","なんばんを忘れないでください。","Xin đừng quên số mấy."
"n5_0118","大変ですね","たいへんですね","Vất vả quá nhỉ.","Đại biến","N5","N","","たいへんですねを忘れないでください。","Xin đừng quên vất vả quá nhỉ.."
"n5_0119","お願いします","おねがいします","Làm ơn...","Nguyện","N5","N","","それはおねがいしますですか。","Đó có phải là làm ơn... không?"
"n5_0120","行く","いく","Đi","Hành","N5","V","","私はいくことができます。","Tôi có thể đi."
"n5_0121","来る","くる","Đến","Lai","N5","V","","くる前に、よく考えます。","Trước khi đến, tôi thường suy nghĩ kỹ."
"n5_0122","帰る","かえる","Về","Quy","N5","V","","かえる前に、よく考えます。","Trước khi về, tôi thường suy nghĩ kỹ."
"n5_0123","学校","がっこう","Trường học","Học hiệu","N5","N","","がっこうにスーパーがあります。","Ở Trường học có siêu thị."
"n5_0124","小学校","しょうがっこう","Trường cấp 1","Tiểu học hiệu","N5","N","","私はしょうがっこうへ行ったことがありません。","Tôi chưa từng đi đến Trường cấp 1."
"n5_0125","中学校","ちゅうがっこう","Trường cấp 2","Trung học hiệu","N5","N","","毎日、ちゅうがっこうへ行きます。","Mỗi ngày tôi đều đi đến Trường cấp 2."
"n5_0126","高校","こうこう","Trường cấp 3","Cao hiệu","N5","N","","私はこうこうことができます。","Tôi có thể trường cấp 3."
"n5_0127","市場","いちば","Chợ","Thị trường","N5","N","","このいちばはいくらですか。","Chợ này bao nhiêu tiền?"
"n5_0128","駅","えき","Nhà ga","Dịch","N5","N","","ここはえきです。","Chỗ này là Nhà ga."
"n5_0129","工場","こうじょう","Công trường","Công trường","N5","N","","あの方はこうじょうです。","Vị kia là Công trường."
"n5_0130","企業","きぎょう","Xí nghiệp","Xí nghiệp","N5","N","","昨日買ったきぎょうはどこですか。","xí nghiệp mà tôi đã mua hôm qua ở đâu?"
"n5_0131","～屋","～や","Hiệu, cửa hàng","ốc","N5","N","","それは～やですか。","Đó có phải là hiệu, cửa hàng không?"
"n5_0132","故郷","ふるさと/こきょう","Quê hương","Cố hương","N5","N","","それはふるさとですか。","Đó có phải là quê hương không?"
"n5_0133","公園","こうえん","Công viên","Công viên","N5","N","","こうえんは今、会議室にいます。","Công viên bây giờ đang ở phòng họp."
"n5_0134","空港","くうこう","Sân bay","Không cảng","N5","N","","昨日買ったくうこうはどこですか。","sân bay mà tôi đã mua hôm qua ở đâu?"
"n5_0135","飛行機","ひこうき","Máy bay","Phi hành cơ","N5","N","","新しいひこうきが欲しいです。","Tôi muốn có máy bay mới."
"n5_0136","船","ふね","Thuyền","Thuyền","N5","N","","ハサミでふねを切ります。","Tôi cắt thuyền bằng kéo."
"n5_0137","電車","でんしゃ","Tàu điện","Điện xa","N5","N","","昨日買ったでんしゃはどこですか。","tàu điện mà tôi đã mua hôm qua ở đâu?"
"n5_0138","新幹線","しんかんせん","Tàu siêu tốc","Tân cán tuyến","N5","N","","昨日買ったしんかんせんはどこですか。","tàu siêu tốc mà tôi đã mua hôm qua ở đâu?"
"n5_0139","地下鉄","ちかてつ","Tàu điện ngầm","Địa hạ thiết","N5","N","","新しいちかてつが欲しいです。","Tôi muốn có tàu điện ngầm mới."
"n5_0140","普通","ふつう","Tàu thường","Phổ thông","N5","N","","ふつうを忘れないでください。","Xin đừng quên tàu thường."
"n5_0141","急行","きゅうこう","Tàu nhanh","Cấp hành","N5","N","","昨日、きゅうこうと一緒に食事しました。","Hôm qua tôi đã đi ăn cùng Tàu nhanh."
"n5_0142","特急","とっきゅう","Tàu tốc hành","Đặc cấp","N5","N","","とっきゅうを忘れないでください。","Xin đừng quên tàu tốc hành."
"n5_0143","自転車","じてんしゃ","Xe đạp","Tự chuyển xa","N5","N","","それはじてんしゃですか。","Đó có phải là xe đạp không?"
"n5_0144","歩いて","あるいて","Đi bộ","Bộ","N5","N","","新しいあるいてが欲しいです。","Tôi muốn có đi bộ mới."
"n5_0145","人","ひと","Người","Nhân","N5","N","","私はひとに日本語を教えます。","Tôi dạy tiếng Nhật cho Người."
"n5_0146","友達","ともだち","Bạn bè","Hữu đạt","N5","N","","私はともだちに日本語を教えます。","Tôi dạy tiếng Nhật cho Bạn bè."
"n5_0147","恋人","こいびと","Người yêu","Luyến","N5","N","","この時計はこいびとにもらいました。","Tôi đã nhận cái đồng hồ này từ Người yêu."
"n5_0148","彼","かれ","Anh ấy","Bỉ","N5","N","","あの人はかれじゃありません。","Người kia không phải là Anh ấy."
"n5_0149","彼女","かのじょ","Cô ấy","Bỉ nữ","N5","N","","ここにかのじょを置いてもいいですか。","Tôi để cô ấy ở đây có được không?"
"n5_0150","家族","かぞく","Gia đình","Gia tộc","N5","N","","かぞくは今、会議室にいます。","Gia đình bây giờ đang ở phòng họp."
"n5_0151","一人で","ひとりで","Một mình","","N5","N","","それはひとりでですか。","Đó có phải là một mình không?"
"n5_0152","先週/先月/去年","先週/先月/去年","Tuần/Tháng/Năm trước","Chu, nguyệt, niên","N5","N","","",""
"n5_0153","今週/今月/今年","今週/今月/今年","Tuần/Tháng/Năm nay","","N5","N","","",""
"n5_0154","来週/来月/来年","来週/来月/来年","Tuần/Tháng/Năm sau","","N5","N","","",""
"n5_0155","週末","しゅうまつ","Cuối tuần","Chu mạt","N5","N","","しゅうまつ、どこへも行きませんでした。","Vào cuối tuần, tôi đã không đi đâu cả."
"n5_0156","誕生日","たんじょうび","Ngày sinh nhật","Đản sinh nhật","N5","N","","たんじょうび、雨が降ると思います。","Tôi nghĩ ngày sinh nhật trời sẽ mưa."
"n5_0157","～番線","～ばんせん","Chuyến số -","Phiên tuyến","N5","N","","～ばんせんを忘れないでください。","Xin đừng quên chuyến số -."
"n5_0158","次の","つぎの","Tiếp theo","Thứ","N5","N","","昨日買ったつぎのはどこですか。","tiếp theo mà tôi đã mua hôm qua ở đâu?"
"n5_0159","食べる","たべる","Ăn","Thực","N5","V","","たべる前に、よく考えます。","Trước khi ăn, tôi thường suy nghĩ kỹ."
"n5_0160","飲む","のむ","Uống","Ẩm","N5","V","","今、のむところです。","Bây giờ tôi đang chuẩn bị uống."
"n5_0161","吸う","すう","Hút","Hấp","N5","V","","時間がない時、すうことができません。","Khi không có thời gian, tôi không thể hút."
"n5_0162","見る","みる","Xem, nhìn","Kiến","N5","V","","たくさんみると、疲れます。","Hễ xem, nhìn nhiều thì sẽ mệt."
"n5_0163","聞く","きく","Nghe, hỏi","Văn","N5","V","","今、きくところです。","Bây giờ tôi đang chuẩn bị hỏi."
"n5_0164","書く","かく","Viết, vẽ","Thư","N5","V","","かく時間がありますか。","Bạn có thời gian để viết, vẽ không?"
"n5_0165","読む","よむ","Đọc","Độc","N5","V","","私はよむことができます。","Tôi có thể đọc."
"n5_0166","買う","かう","Mua","Mãi","N5","V","","かう前に、よく考えます。","Trước khi mua, tôi thường suy nghĩ kỹ."
"n5_0167","撮る","とる","Chụp","Toát","N5","V","","明日、とると思います。","Ngày mai, tôi định sẽ chụp."
"n5_0168","会う","かう","Gặp","Hội","N5","V","","今、かうところです。","Bây giờ tôi đang chuẩn bị gặp."
"n5_0169","実習する","じっしゅうする","Thực hành","Thực tập","N5","V","","じっしゅうする時間がありますか。","Bạn có thời gian để thực hành không?"
"n5_0170","ご飯","ごはん","Cơm, bữa ăn","Phãn","N5","N","","ごはんを食べる前に、手を洗います。","Trước khi ăn cơm, bữa ăn, tôi rửa tay."
"n5_0171","朝ご飯","あさごはん","Cơm sáng","","N5","N","","あさごはん、どこへも行きませんでした。","Vào cơm sáng, tôi đã không đi đâu cả."
"n5_0172","昼ご飯","ひるごはん","Cơm trưa","","N5","N","","ひるごはんに起きます。","Tôi thức dậy vào cơm trưa."
"n5_0173","晩ご飯","ばんごはん","Cơm tối","","N5","N","","ばんごはん、雨が降ると思います。","Tôi nghĩ cơm tối trời sẽ mưa."
"n5_0174","卵","たまご","Trứng","Noãn","N5","N","","昨日、デパートでたまごを買いました。","Hôm qua, tôi đã mua trứng ở trung tâm thương mại."
"n5_0176","肉","にく","Thịt","Nhục","N5","N","","このにくは美味しくて、安いです。","Thịt này vừa ngon vừa rẻ."
"n5_0177","魚","さかな","Cá","Ngư","N5","N","","スーパーでさかなを三つ買いました。","Tôi đã mua 3 cá ở siêu thị."
"n5_0178","果物","くだもの","Hoa quả","Quả vật","N5","N","","昨日食べたくだものは美味しかったです。","Hoa quả mà tôi đã ăn hôm qua rất ngon."
"n5_0179","水","みず","Nước","Thủy","N5","N","","私はみずへ行ったことがありません。","Tôi chưa từng đi đến Nước."
"n5_0180","お茶","おちゃ","Trà","Trà","N5","N","","昨日食べたおちゃは美味しかったです。","Trà mà tôi đã ăn hôm qua rất ngon."
"n5_0181","紅茶","こうちゃ","Trà đen","Hồng trà","N5","N","","昨日食べたこうちゃは美味しかったです。","Trà đen mà tôi đã ăn hôm qua rất ngon."
"n5_0182","牛乳　/　ミルク","ぎゅうにゅう","Sữa bò","Ngưu nhũ","N5","N","","スーパーでぎゅうにゅうを三つ買いました。","Tôi đã mua 3 sữa bò ở siêu thị."
"n5_0183","「お」酒","おさけ","Rượu sake","Tửu","N5","N","","おさけを食べる前に、手を洗います。","Trước khi ăn rượu sake, tôi rửa tay."
"n5_0184","映画","えいが","phim","Ánh họa","N5","N","","それはえいがですか。","Đó có phải là phim không?"
"n5_0185","写真","しゃしん","Ảnh","Tả chân","N5","N","","それはしゃしんですか。","Đó có phải là ảnh không?"
"n5_0186","店","みせ","Cửa hàng","Điếm","N5","N","","ここにみせを置いてもいいですか。","Tôi để cửa hàng ở đây có được không?"
"n5_0187","宿題","しゅくだい","Bài tập","Túc đề","N5","N","","私はしゅくだいに日本語を教えます。","Tôi dạy tiếng Nhật cho Bài tập."
"n5_0188","一緒に","いっしょに","Cùng nhau","Tự","N5","N","","ここにいっしょにを置いてもいいですか。","Tôi để cùng nhau ở đây có được không?"
"n5_0189","時々","ときどき","Thỉnh thoảng","","N5","N","","ときどきの使い方を教えてください。","Hãy chỉ cho tôi cách dùng thỉnh thoảng."
"n5_0190","分かった","わかった","Tôi hiểu rồi, được rồi","","N5","N","","この時計はわかったにもらいました。","Tôi đã nhận cái đồng hồ này từ Tôi hiểu rồi, được rồi."
"n5_0191","何ですか","なんですか","Gì vậy, cái gì vậy","","N5","N","","なんですかを食べる前に、手を洗います。","Trước khi ăn gì vậy, cái gì vậy, tôi rửa tay."
"n5_0192","じゃ、また明日","じゃ、またあした","Hẹn gặp lại ngày mai","","N5","N","","この時計はじゃ、またあしたにもらいました。","Tôi đã nhận cái đồng hồ này từ Hẹn gặp lại ngày mai."
